(-0.3578794,-1.253493)
(-0.3478794,-1.372622)
(-0.3378794,-1.471026)
(-0.3278794,-1.559429)
(-0.3178794,-1.641995)
(-0.3078794,-1.720886)
(-0.2978794,-1.797417)
(-0.2878794,-1.872474)
(-0.2778794,-1.946707)
(-0.2678794,-2.020625)
(-0.2578794,-2.094649)
(-0.2478794,-2.169146)
(-0.2378794,-2.244452)
(-0.2278794,-2.320888)
(-0.2178794,-2.398769)
(-0.2078794,-2.478417)
(-0.1978794,-2.560171)
(-0.1878794,-2.644398)
(-0.1778794,-2.7315)
(-0.1678794,-2.82193)
(-0.1578794,-2.916206)
(-0.1478794,-3.014936)
(-0.1378794,-3.118835)
(-0.1278794,-3.228767)
(-0.1178794,-3.345798)
(-0.1078794,-3.471258)
(-0.09787944,-3.606854)
(-0.08787944,-3.754833)
(-0.07787944,-3.918233)
(-0.06787944,-4.101334)
(-0.05787944,-4.31043)
(-0.04787944,-4.555377)
(-0.03787944,-4.852929)
(-0.02787944,-5.235283)
(-0.01787944,-5.778195)
(-0.007879441,-6.753569)
